Memo ID,account_id,Date,Shortcode,Memo,Rep ID,Sentiment,Channel,Intent
54,48460ac7-904c-4750-92ab-181d88a194f0,2024-12-22,NPS ACCT,2024-12-22 | NPS ACCT | Rep: REP210,REP210,Neutral,Voice,Open New Account
55,840e6707-e8c3-4b4a-8af2-b0b7b29a93b5,2025-03-18,NRI,2025-03-18 | NRI | Rep: REP584,REP584,Negative,Chat,Foreign Services
56,19870aee-236e-442d-9b1a-262bb11eea2d,2025-01-25,PIN RST,2025-01-25 | PIN RST | Rep: REP750,REP750,Negative,Voice,Reset PIN
57,14c6962b-8b83-44ef-8a1e-32a82f4ecf5c,2024-12-03,FEE WVR,2024-12-03 | FEE WVR | Rep: REP245 | Note: Dispute form submitted; follow-up needed in 5 days.,REP245,Negative,Chat,Fee Waiver Request
58,b8725edb-28c7-4c65-9d0f-d2a9bbda4bb6,2024-10-21,FEE WVR,2024-10-21 | FEE WVR | Rep: REP633,REP633,Positive,Email,Fee Waiver Request
59,06698fa8-120a-4e1b-8d05-3de76b397d97,2025-01-30,BAL TRF,2025-01-30 | BAL TRF | Rep: REP000,REP000,Negative,Voice,Balance Transfer Request
60,39c58908-0e01-4368-a3c6-d1147d2a69d9,2025-04-18,ACCT,2025-04-18 | ACCT | Rep: REP064,REP064,Negative,Chat,General Account Info
61,28a8a9f6-e262-4314-8477-662ea54a5a54,2024-12-21,ACCT,2024-12-21 | ACCT | Rep: REP098,REP098,Negative,Voice,General Account Info
62,e3d43b2b-56c6-4cb0-98e8-847df6184288,2025-02-10,CLOSE ACCT,2025-02-10 | CLOSE ACCT | Rep: REP126,REP126,Neutral,Email,Close Account
63,53432400-5bb6-45d6-976b-66d0b309666a,2025-04-03,CLOSE ACCT,2025-04-03 | CLOSE ACCT | Rep: REP480,REP480,Neutral,Chat,Close Account
64,4643ab21-aebd-4ee8-a202-40426dec5225,2024-12-22,BAL TRF,2024-12-22 | BAL TRF | Rep: REP295,REP295,Neutral,Voice,Balance Transfer Request
65,4e43c73d-82d1-485b-a5b0-80cf6932918e,2025-04-03,CC,2025-04-03 | CC | Rep: REP018,REP018,Neutral,Voice,Apply Credit Card
66,29a6d7e9-89b9-42e8-8e97-0adecdcf52a5,2025-03-17,ECS RVS,2025-03-17 | ECS RVS | Rep: REP306,REP306,Neutral,Email,Reversal Request
67,f8190d5a-c206-4b20-bf2f-39acfbb85d6d,2024-12-20,STMT RQ,2024-12-20 | STMT RQ | Rep: REP159,REP159,Neutral,Voice,Get Statement
68,d7fe11dc-048f-49b8-b1bc-dcbdbb9a7984,2025-04-10,DC,2025-04-10 | DC | Rep: REP750,REP750,Neutral,Chat,Debit Card Service
69,0ae08baa-0270-44ea-9d96-667079aaea2a,2024-10-22,OTP,"2024-10-22 | OTP | Rep: REP027 | Note: Asked for statement via email, sent instantly.",REP027,Negative,Voice,Authentication Help
70,a226dc1c-bb88-40bd-9556-7af947862c29,2025-02-25,NPS ACCT,2025-02-25 | NPS ACCT | Rep: REP382 | Note: Advised to visit branch with original documents.,REP382,Positive,Email,Open New Account
71,804fa060-07c7-4ece-9a95-433dbf9c8575,2025-01-22,STMT RQ,2025-01-22 | STMT RQ | Rep: REP620,REP620,Neutral,Email,Get Statement
72,5282a13a-908f-4fe8-b799-d702be60d2f7,2024-12-28,BAL QRY,2024-12-28 | BAL QRY | Rep: REP610,REP610,Negative,Voice,Balance Inquiry
73,225cc911-8434-49ec-b30f-7cfd9c4a33b2,2025-02-10,NPS ACCT,2025-02-10 | NPS ACCT | Rep: REP932 | Note: Card declined during purchase—issue escalated.,REP932,Positive,Chat,Open New Account
74,bf4d3049-e9cc-4fbe-9fdc-ff4109ff584e,2025-02-23,ACCT,2025-02-23 | ACCT | Rep: REP377,REP377,Neutral,Voice,General Account Info
75,dc1322a7-aa46-4408-a3a7-a1412d19735e,2025-02-27,ECS RVS,2025-02-27 | ECS RVS | Rep: REP795,REP795,Positive,Email,Reversal Request
76,5f9c04ee-03d3-44a5-b221-ad85fe6269be,2024-11-27,TXN,2024-11-27 | TXN | Rep: REP337,REP337,Positive,Chat,Transaction Issue
77,da5ed01c-177e-4a00-b987-efa43826fcba,2025-01-09,TXN,2025-01-09 | TXN | Rep: REP129 | Note: Collection notice acknowledged; partial payment made.,REP129,Positive,Chat,Transaction Issue
78,14453942-d088-4bae-b015-824ba4821f08,2025-02-16,ECS RVS,2025-02-16 | ECS RVS | Rep: REP794,REP794,Neutral,Email,Reversal Request
79,89647783-4c9e-45dc-8830-c647231f87cf,2025-03-20,LMT INC,2025-03-20 | LMT INC | Rep: REP074 | Note: Dispute form submitted; follow-up needed in 5 days.,REP074,Negative,Email,Increase Credit Limit
80,14453942-d088-4bae-b015-824ba4821f08,2024-12-11,ECS RVS,2024-12-11 | ECS RVS | Rep: REP914,REP914,Negative,Chat,Reversal Request
81,90afe5d4-7245-4a25-ab42-77927429fa9f,2024-12-15,PND DOC,2024-12-15 | PND DOC | Rep: REP987,REP987,Negative,Email,Document Follow-up
82,b0b7373d-3ad0-4420-9854-84cb343e8a10,2024-12-07,CC,2024-12-07 | CC | Rep: REP039 | Note: Offered balance transfer options; customer interested.,REP039,Neutral,Voice,Apply Credit Card
83,8d40f1f4-e8f8-4c51-bae9-54db78afb62d,2024-11-27,OTP,2024-11-27 | OTP | Rep: REP327 | Note: Customer satisfied with resolution.,REP327,Negative,Email,Authentication Help
84,90aba0e9-b888-4e3f-baf3-ad6ed194daa1,2024-11-12,LMT INC,2024-11-12 | LMT INC | Rep: REP031 | Note: PIN reset confirmed and successful.,REP031,Positive,Voice,Increase Credit Limit
85,dc4d4c8b-e0c4-4756-958e-b544b47385a3,2024-10-23,FEE WVR,2024-10-23 | FEE WVR | Rep: REP355 | Note: Customer satisfied with resolution.,REP355,Neutral,Email,Fee Waiver Request
86,f0f4107a-3ef7-4a62-bd63-35453e5482c2,2024-12-08,BAL QRY,2024-12-08 | BAL QRY | Rep: REP888 | Note: Requested urgent update to mailing address.,REP888,Negative,Voice,Balance Inquiry
87,b8725edb-28c7-4c65-9d0f-d2a9bbda4bb6,2024-11-22,DC,2024-11-22 | DC | Rep: REP774,REP774,Negative,Chat,Debit Card Service
88,dbd63405-051c-4136-bd17-3a7c8e99c31a,2024-12-29,NRI,2024-12-29 | NRI | Rep: REP501 | Note: Dispute form submitted; follow-up needed in 5 days.,REP501,Negative,Email,Foreign Services
89,20b597ca-3266-427e-a47d-79a31c1491a4,2025-02-14,DISP,2025-02-14 | DISP | Rep: REP094 | Note: Collection notice acknowledged; partial payment made.,REP094,Negative,Chat,Dispute Transaction
90,f89462a3-b7a7-47a0-860d-341f8d68e2be,2024-12-16,ECS RVS,2024-12-16 | ECS RVS | Rep: REP213,REP213,Neutral,Chat,Reversal Request
91,990c2a8e-9b41-4b33-ac89-d3cfe4b7bb93,2024-12-09,BAL QRY,2024-12-09 | BAL QRY | Rep: REP842,REP842,Neutral,Chat,Balance Inquiry
92,804fa060-07c7-4ece-9a95-433dbf9c8575,2025-01-10,DC,2025-01-10 | DC | Rep: REP237 | Note: Customer complained about unrecognized transaction.,REP237,Negative,Chat,Debit Card Service
93,06d305e4-2a06-42f7-8e38-125c143d97ef,2025-01-02,BAL TRF,2025-01-02 | BAL TRF | Rep: REP363 | Note: Customer complained about unrecognized transaction.,REP363,Neutral,Voice,Balance Transfer Request
94,3b569f87-2a2c-4b2b-8c45-9dc1500fe43d,2025-01-10,ADDR UPD,2025-01-10 | ADDR UPD | Rep: REP380,REP380,Positive,Email,Profile Update
95,41859cc2-9f52-49b6-9c34-6b7d3257de06,2024-12-22,DC,2024-12-22 | DC | Rep: REP919 | Note: Requested urgent update to mailing address.,REP919,Positive,Voice,Debit Card Service
96,b8673aa7-11ae-4850-9078-4b32c92d18e8,2024-11-22,COLL,2024-11-22 | COLL | Rep: REP766 | Note: Card declined during purchase—issue escalated.,REP766,Positive,Voice,Collections Call
97,5f9c04ee-03d3-44a5-b221-ad85fe6269be,2025-04-11,BAL TRF,2025-04-11 | BAL TRF | Rep: REP750 | Note: Card declined during purchase—issue escalated.,REP750,Negative,Voice,Balance Transfer Request
98,840e6707-e8c3-4b4a-8af2-b0b7b29a93b5,2025-03-21,DISP,2025-03-21 | DISP | Rep: REP053,REP053,Positive,Voice,Dispute Transaction
99,ce8624be-26bf-4d8d-bc8e-6ba8dc7ddf63,2024-10-29,TXN,2024-10-29 | TXN | Rep: REP018,REP018,Positive,Chat,Transaction Issue
100,dc1322a7-aa46-4408-a3a7-a1412d19735e,2024-11-21,LMT INC,2024-11-21 | LMT INC | Rep: REP390 | Note: Explained process for fee waiver eligibility.,REP390,Positive,Voice,Increase Credit Limit
101,173392a5-0c8b-4b88-800e-b50d5edff8d1,2025-03-17,BAL QRY,2025-03-17 | BAL QRY | Rep: REP309,REP309,Neutral,Voice,Balance Inquiry
102,70b65935-f9f4-4aba-8411-a3ff583f3a41,2025-02-09,STMT RQ,2025-02-09 | STMT RQ | Rep: REP700,REP700,Neutral,Voice,Get Statement
103,8c141c43-a3e3-441a-a4ef-22356da489cc,2024-11-30,STMT RQ,2024-11-30 | STMT RQ | Rep: REP435,REP435,Positive,Email,Get Statement
104,60fdd689-f9f7-4959-a65a-78190fcf80c1,2025-02-16,NRI,2025-02-16 | NRI | Rep: REP436,REP436,Negative,Chat,Foreign Services
105,90afe5d4-7245-4a25-ab42-77927429fa9f,2024-12-11,TXN,2024-12-11 | TXN | Rep: REP821 | Note: Offered balance transfer options; customer interested.,REP821,Negative,Voice,Transaction Issue
106,6117057d-dd3f-4142-844c-1e49f9428e43,2024-12-26,TXN,2024-12-26 | TXN | Rep: REP301,REP301,Negative,Email,Transaction Issue
107,19870aee-236e-442d-9b1a-262bb11eea2d,2024-12-09,BAL TRF,2024-12-09 | BAL TRF | Rep: REP987 | Note: Dispute form submitted; follow-up needed in 5 days.,REP987,Neutral,Voice,Balance Transfer Request
108,4c183bc4-9920-4b57-899a-9e39cfe16ad0,2025-01-26,FVR CHK,2025-01-26 | FVR CHK | Rep: REP928,REP928,Neutral,Chat,Fraud Detection
109,53432400-5bb6-45d6-976b-66d0b309666a,2025-03-16,TXN,2025-03-16 | TXN | Rep: REP971 | Note: Card declined during purchase—issue escalated.,REP971,Negative,Email,Transaction Issue
110,52014828-a05b-4c5c-ad00-9b7483e22d75,2025-01-30,PIN RST,2025-01-30 | PIN RST | Rep: REP342 | Note: Collection notice acknowledged; partial payment made.,REP342,Neutral,Chat,Reset PIN
111,4e3b0722-bc67-47bb-9ff8-61243e0d60cd,2024-12-24,STMT RQ,2024-12-24 | STMT RQ | Rep: REP718 | Note: Card declined during purchase—issue escalated.,REP718,Neutral,Chat,Get Statement
112,cda122e2-98d5-4007-959a-0bedb790fe80,2025-01-25,ECS RVS,2025-01-25 | ECS RVS | Rep: REP990,REP990,Positive,Chat,Reversal Request
113,3b569f87-2a2c-4b2b-8c45-9dc1500fe43d,2024-12-12,NRI,2024-12-12 | NRI | Rep: REP801,REP801,Positive,Email,Foreign Services
114,70b65935-f9f4-4aba-8411-a3ff583f3a41,2025-03-31,FVR CHK,2025-03-31 | FVR CHK | Rep: REP281,REP281,Positive,Chat,Fraud Detection
115,e3dce91d-ea4f-4d97-9514-bdeb43dacd04,2025-03-08,NPS ACCT,2025-03-08 | NPS ACCT | Rep: REP522,REP522,Positive,Chat,Open New Account
116,81066c1c-c625-4ad3-8474-6ffad68ad9f3,2024-11-10,FVR CHK,2024-11-10 | FVR CHK | Rep: REP472 | Note: PIN reset confirmed and successful.,REP472,Neutral,Voice,Fraud Detection
117,c7018be2-d970-4ed2-ac6b-c2bfd14c44ff,2025-01-24,TXN,2025-01-24 | TXN | Rep: REP252,REP252,Negative,Email,Transaction Issue
118,a5c2be23-9314-454a-a546-f96f75749afa,2025-03-20,PIN RST,2025-03-20 | PIN RST | Rep: REP645,REP645,Negative,Email,Reset PIN
119,b9d0fe24-6860-4bbc-b5c1-7a0c8810d05c,2024-10-28,PIN RST,2024-10-28 | PIN RST | Rep: REP739,REP739,Positive,Voice,Reset PIN
120,b7206ec9-9b0f-4849-8981-243e2f04b06e,2024-12-22,PND DOC,2024-12-22 | PND DOC | Rep: REP526,REP526,Neutral,Voice,Document Follow-up
121,da5ed01c-177e-4a00-b987-efa43826fcba,2025-02-05,TXN,2025-02-05 | TXN | Rep: REP711 | Note: Explained process for fee waiver eligibility.,REP711,Positive,Chat,Transaction Issue
122,0434e68f-dcd2-4409-95ab-2e1b5b50e6e8,2024-11-15,STMT RQ,2024-11-15 | STMT RQ | Rep: REP755,REP755,Negative,Email,Get Statement
123,443c0160-bac5-4733-86d5-9c423bf3d008,2025-01-30,DISP,2025-01-30 | DISP | Rep: REP142,REP142,Neutral,Email,Dispute Transaction
124,dbd63405-051c-4136-bd17-3a7c8e99c31a,2024-11-03,LMT INC,2024-11-03 | LMT INC | Rep: REP089,REP089,Negative,Voice,Increase Credit Limit
125,dc4d4c8b-e0c4-4756-958e-b544b47385a3,2025-02-19,ECS BLK,"2025-02-19 | ECS BLK | Rep: REP943 | Note: Asked for statement via email, sent instantly.",REP943,Positive,Voice,Block Auto Payment
126,a7e21628-b261-4068-8b36-1dd18a10f5ae,2025-01-21,ACCT,2025-01-21 | ACCT | Rep: REP425 | Note: Collection notice acknowledged; partial payment made.,REP425,Neutral,Email,General Account Info
127,dbd63405-051c-4136-bd17-3a7c8e99c31a,2025-02-24,OTP,2025-02-24 | OTP | Rep: REP680,REP680,Neutral,Chat,Authentication Help
128,19870aee-236e-442d-9b1a-262bb11eea2d,2024-12-28,PND DOC,2024-12-28 | PND DOC | Rep: REP257,REP257,Neutral,Chat,Document Follow-up
129,14c6962b-8b83-44ef-8a1e-32a82f4ecf5c,2025-01-09,ECS BLK,2025-01-09 | ECS BLK | Rep: REP382 | Note: Collection notice acknowledged; partial payment made.,REP382,Neutral,Email,Block Auto Payment
130,225cc911-8434-49ec-b30f-7cfd9c4a33b2,2025-02-24,NPS ACCT,"2025-02-24 | NPS ACCT | Rep: REP865 | Note: Asked for statement via email, sent instantly.",REP865,Neutral,Voice,Open New Account
131,81066c1c-c625-4ad3-8474-6ffad68ad9f3,2024-10-26,NRI,2024-10-26 | NRI | Rep: REP553,REP553,Positive,Email,Foreign Services
132,ce8624be-26bf-4d8d-bc8e-6ba8dc7ddf63,2025-02-02,DISP,2025-02-02 | DISP | Rep: REP431 | Note: Collection notice acknowledged; partial payment made.,REP431,Positive,Voice,Dispute Transaction
133,4643ab21-aebd-4ee8-a202-40426dec5225,2025-03-28,PIN RST,2025-03-28 | PIN RST | Rep: REP320 | Note: Advised to visit branch with original documents.,REP320,Neutral,Chat,Reset PIN
134,0f301ab3-6241-4c1a-83c1-90cfbc891002,2024-10-25,KYC,2024-10-25 | KYC | Rep: REP049 | Note: Card declined during purchase—issue escalated.,REP049,Negative,Voice,Account Verification
135,39c58908-0e01-4368-a3c6-d1147d2a69d9,2024-12-05,DC,2024-12-05 | DC | Rep: REP247 | Note: Dispute form submitted; follow-up needed in 5 days.,REP247,Positive,Voice,Debit Card Service
136,17a85cba-2f69-4b99-8db4-252f70b0ef33,2024-11-11,CHQ BK,2024-11-11 | CHQ BK | Rep: REP041 | Note: Card declined during purchase—issue escalated.,REP041,Positive,Voice,Order Cheque Book
137,915f65c5-471f-4429-b0ab-a614e553d45c,2025-03-23,STMT RQ,2025-03-23 | STMT RQ | Rep: REP718,REP718,Negative,Email,Get Statement
138,bf3dabb4-534e-439c-8e50-da466bd22af9,2025-02-18,FEE WVR,2025-02-18 | FEE WVR | Rep: REP048 | Note: Customer complained about unrecognized transaction.,REP048,Negative,Chat,Fee Waiver Request
139,6988d2ab-0c85-4ec1-a641-e140468bce09,2025-01-18,ECS BLK,2025-01-18 | ECS BLK | Rep: REP806,REP806,Negative,Chat,Block Auto Payment
140,52014828-a05b-4c5c-ad00-9b7483e22d75,2025-04-12,FEE WVR,2025-04-12 | FEE WVR | Rep: REP313,REP313,Negative,Email,Fee Waiver Request
141,f89462a3-b7a7-47a0-860d-341f8d68e2be,2025-03-24,OTP,2025-03-24 | OTP | Rep: REP662 | Note: No further action required; issue resolved.,REP662,Neutral,Chat,Authentication Help
142,a205ea87-4fa9-4d62-b169-de85a7b9bc91,2024-12-13,CLOSE ACCT,2024-12-13 | CLOSE ACCT | Rep: REP565,REP565,Negative,Voice,Close Account
143,dc4d4c8b-e0c4-4756-958e-b544b47385a3,2025-02-02,STMT RQ,2025-02-02 | STMT RQ | Rep: REP854,REP854,Neutral,Email,Get Statement
144,e060bf64-5d7b-4fce-b318-1054dfee0b20,2025-03-10,KYC,2025-03-10 | KYC | Rep: REP422,REP422,Positive,Chat,Account Verification
145,502fd85b-626a-4e9e-bcd2-708a1cafe1c1,2024-12-18,TXN,2024-12-18 | TXN | Rep: REP870 | Note: Customer satisfied with resolution.,REP870,Negative,Chat,Transaction Issue
146,a226dc1c-bb88-40bd-9556-7af947862c29,2025-03-25,BAL TRF,2025-03-25 | BAL TRF | Rep: REP702 | Note: No further action required; issue resolved.,REP702,Neutral,Chat,Balance Transfer Request
147,e3dce91d-ea4f-4d97-9514-bdeb43dacd04,2024-10-21,ACCT,2024-10-21 | ACCT | Rep: REP420,REP420,Positive,Voice,General Account Info
148,da5ed01c-177e-4a00-b987-efa43826fcba,2024-11-30,CHQ BK,2024-11-30 | CHQ BK | Rep: REP535,REP535,Neutral,Email,Order Cheque Book
149,b0b7373d-3ad0-4420-9854-84cb343e8a10,2025-01-10,NPS ACCT,2025-01-10 | NPS ACCT | Rep: REP662,REP662,Positive,Voice,Open New Account
150,225cc911-8434-49ec-b30f-7cfd9c4a33b2,2025-03-24,ECS RVS,2025-03-24 | ECS RVS | Rep: REP925 | Note: Offered balance transfer options; customer interested.,REP925,Negative,Chat,Reversal Request
